父件预入仓库	父件商品	生产数量	成品率%	子件预出仓库	子件商品	生产数量	子件版本号	计量单位	需用数量	固定损耗数量
自制成品仓	Z177-877双色传动轴	1	100.0000%	原材料线边仓	PM.JS292764.white.ColorSaint	1		克	0.014	0
自制成品仓	Z177-P27P59双色传动轴	1	100.0000%	半成品仓	Z177-P27P59双色传动轴骨架	1		PC	1	0
自制成品仓	Z177-P27P59双色传动轴	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.066	0
自制成品仓	Z177-P27P59双色传动轴	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.066	0
自制成品仓	Z177-P27P59双色传动轴	1	100.0000%	原材料线边仓	PM.JS292764.white.ColorSaint	1		克	0.007	0
自制成品仓	Z177-后注塑传动轴	1	100.0000%	半成品仓	Z177-后注塑传动轴骨架	1		PC	1	0
自制成品仓	Z177-后注塑传动轴	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.118	0
自制成品仓	Z177-后注塑传动轴	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.118	0
自制成品仓	Z177-后注塑传动轴	1	100.0000%	原材料线边仓	PM.JS292764.white.ColorSaint	1		克	0.0125	0
自制成品仓	EVA2中主叶片连杆2	1	100.0000%	半成品仓	EVA2中主叶片连杆2骨架	1		PC	1	0
自制成品仓	EVA2中主叶片连杆2	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.2	0
自制成品仓	EVA2中主叶片连杆2	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.2	0
自制成品仓	EVA2_侧双色传动轴	1	100.0000%	半成品仓	EVA2_侧双色传动轴骨架	1		PC	1	0
自制成品仓	EVA2_侧双色传动轴	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.76	0
自制成品仓	EVA2_侧双色传动轴	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.76	0
自制成品仓	D2UC2 传动轴_O	1	100.0000%	外购半成品仓	D2UC2 传动轴骨架_O	1		PC	1	0
自制成品仓	D2UC2 传动轴_O	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.152	0
自制成品仓	D2UC2 传动轴_O	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.152	0
自制成品仓	D2UC2 传动轴_O	1	100.0000%	原材料线边仓	PM.JS292764.white.ColorSaint	1		克	0.016	0
自制成品仓	KX_侧左主叶片连杆	1	100.0000%	半成品仓	KX_侧左主叶片连杆骨架	1		PC	1	0
自制成品仓	KX_侧左主叶片连杆	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.042	0
自制成品仓	KX_侧左主叶片连杆	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.042	0
自制成品仓	KX_侧左主叶片连杆	1	100.0000%	原材料线边仓	PM.JS292764.white.ColorSaint	1		克	0.0045	0
自制成品仓	KX_中主叶片连杆_CL	1	100.0000%	半成品仓	KX_中主叶片连杆_CL骨架	1		PC	1	0
自制成品仓	KX_中主叶片连杆_CL	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.085	0
自制成品仓	KX_中主叶片连杆_CL	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.085	0
自制成品仓	KX_中主叶片连杆_CL	1	100.0000%	原材料线边仓	PM.JS292764.white.ColorSaint	1		克	0.009	0
自制成品仓	KX_中主叶片连杆_CR	1	100.0000%	半成品仓	KX_中主叶片连杆_CR骨架	1		PC	1	0
自制成品仓	KX_中主叶片连杆_CR	1	100.0000%	原材料线边仓	LR 3070/60A	1		克	0.071	0
自制成品仓	KX_中主叶片连杆_CR	1	100.0000%	原材料线边仓	LR 3070/60B	1		克	0.071	0
自制成品仓	KX_中主叶片连杆_CR	1	100.0000%	原材料线边仓	PM.JS292764.white.ColorSaint	1		克	0.0075	0
